Macrotrends Data Download,,
,,
India Population 1950-2024,,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date,  Population , Annual % Change
31-12-65,"500,114,346",2.26
31-12-66,"510,992,617",2.18
31-12-67,"521,987,069",2.15
31-12-68,"533,431,909",2.19
31-12-69,"545,314,670",2.23
31-12-70,"557,501,301",2.23
31-12-71,"569,999,178",2.24
31-12-72,"582,837,973",2.25
31-12-73,"596,107,483",2.28
31-12-74,"609,721,951",2.28
31-12-75,"623,524,219",2.26
31-12-76,"637,451,448",2.23
31-12-77,"651,685,628",2.23
31-12-78,"666,267,760",2.24
31-12-79,"681,248,383",2.25
31-12-80,"696,828,385",2.29
31-12-81,"712,869,298",2.3
31-12-82,"729,169,466",2.29
31-12-83,"745,826,546",2.28
31-12-84,"762,895,156",2.29
31-12-85,"780,242,084",2.27
31-12-86,"797,878,993",2.26
31-12-87,"815,716,125",2.24
31-12-88,"833,729,681",2.21
31-12-89,"852,012,673",2.19
31-12-90,"870,452,165",2.16
31-12-91,"888,941,756",2.12
31-12-92,"907,574,049",2.1
31-12-93,"926,351,297",2.07
31-12-94,"945,261,958",2.04
31-12-95,"964,279,129",2.01
31-12-96,"983,281,218",1.97
31-12-97,"1,002,335,230",1.94
31-12-98,"1,021,434,576",1.91
31-12-99,"1,040,500,054",1.87
31-12-00,"1,059,633,675",1.84
31-12-01,"1,078,970,907",1.82
31-12-02,"1,098,313,039",1.79
31-12-03,"1,117,415,123",1.74
31-12-04,"1,136,264,583",1.69
31-12-05,"1,154,638,713",1.62
31-12-06,"1,172,373,788",1.54
31-12-07,"1,189,691,809",1.48
31-12-08,"1,206,734,806",1.43
31-12-09,"1,223,640,160",1.4
31-12-10,"1,240,613,620",1.39
31-12-11,"1,257,621,191",1.37
31-12-12,"1,274,487,215",1.34
31-12-13,"1,291,132,063",1.31
31-12-14,"1,307,246,509",1.25
31-12-15,"1,322,866,505",1.19
31-12-16,"1,338,636,340",1.19
31-12-17,"1,354,195,680",1.16
31-12-18,"1,369,003,306",1.09
31-12-19,"1,383,112,050",1.03
31-12-20,"1,396,387,127",0.96
31-12-21,"1,407,563,842",0.8
31-12-22,"1,417,173,173",0.68
31-12-23,"1,428,627,663",0.81
31-12-24,"1,441,719,852",0.92
31-12-25,"1,454,606,724",0.89
31-12-26,"1,467,231,210",0.87
31-12-27,"1,479,578,522",0.84
31-12-28,"1,491,671,049",0.82
31-12-29,"1,503,470,597",0.79
31-12-30,"1,514,994,080",0.77
31-12-31,"1,526,208,890",0.74
31-12-32,"1,537,108,035",0.71
31-12-33,"1,547,689,835",0.69
31-12-34,"1,557,919,806",0.66
31-12-35,"1,567,802,259",0.63
31-12-36,"1,577,302,813",0.61
31-12-37,"1,586,438,621",0.58
31-12-38,"1,595,245,783",0.56
31-12-39,"1,603,664,860",0.53
31-12-40,"1,611,676,333",0.5
31-12-41,"1,619,318,360",0.47
31-12-42,"1,626,585,377",0.45
31-12-43,"1,633,430,529",0.42
31-12-44,"1,639,837,771",0.39
31-12-45,"1,645,863,187",0.37
31-12-46,"1,651,513,758",0.34
31-12-47,"1,656,777,045",0.32
31-12-48,"1,661,705,662",0.3
31-12-49,"1,666,284,995",0.28
31-12-50,"1,670,490,596",0.25
31-12-51,"1,674,343,633",0.23
31-12-52,"1,677,872,877",0.21
31-12-53,"1,681,073,168",0.19
31-12-54,"1,683,955,036",0.17
31-12-55,"1,686,563,352",0.15
31-12-56,"1,688,894,376",0.14
31-12-57,"1,690,942,717",0.12
31-12-58,"1,692,704,323",0.1
31-12-59,"1,694,150,261",0.09
31-12-60,"1,695,285,496",0.07
31-12-61,"1,696,121,513",0.05
31-12-62,"1,696,684,915",0.03
31-12-63,"1,696,976,687",0.02
31-12-64,"1,696,961,377",0
31-12-65,"1,696,634,194",-0.02
31-12-66,"1,695,973,647",-0.04
31-12-67,"1,694,997,002",-0.06
31-12-68,"1,693,712,648",-0.08
31-12-69,"1,692,129,032",-0.09
31-12-70,"1,690,230,782",-0.11
31-12-71,"1,687,990,290",-0.13
31-12-72,"1,685,415,100",-0.15
31-12-73,"1,682,564,509",-0.17
31-12-74,"1,679,449,251",-0.19
31-12-75,"1,676,034,859",-0.2
31-12-76,"1,672,328,379",-0.22
31-12-77,"1,668,352,090",-0.24
31-12-78,"1,664,100,421",-0.25
31-12-79,"1,659,592,793",-0.27
31-12-80,"1,654,856,931",-0.29
31-12-81,"1,649,862,775",-0.3
31-12-82,"1,644,678,016",-0.31
31-12-83,"1,639,364,772",-0.32
31-12-84,"1,633,888,926",-0.33
31-12-85,"1,628,242,630",-0.35
31-12-86,"1,622,427,556",-0.36
31-12-87,"1,616,451,904",-0.37
31-12-88,"1,610,366,035",-0.38
31-12-89,"1,604,195,811",-0.38
31-12-90,"1,597,908,861",-0.39
31-12-91,"1,591,484,819",-0.4
31-12-92,"1,584,943,121",-0.41
31-12-93,"1,578,296,205",-0.42
31-12-94,"1,571,569,451",-0.43
31-12-95,"1,564,797,337",-0.43
31-12-96,"1,557,945,219",-0.44
31-12-97,"1,551,000,309",-0.45
31-12-98,"1,543,990,229",-0.45
31-12-99,"1,536,933,462",-0.46
31-12-00,"1,529,850,119",-0.46
